Name Code,Lat,Long,Region,Names,Gage #s,Flow (TAF/yr),NCAR Description,Res. Capacity (TAF),My Description,Updated Historical Data,ORG,Lat,Long,Description,Average Flow (TAF/yr) from 1950-1999
ILLIR,39.7033,-90.6453,UP,Illinois R,5586100,17420,"Illinois River At Valley City, IL ",0,Illinois River (no dam),Yes - new,USGS,39.7033,-90.6453,Gage,10643
IOWAR,41.1781,-91.1819,UP,Iowa R,5465500,6606,"Iowa River At Wapello, IA ",0,Iowa River (no dam),Yes - new,USGS,41.1781,-91.1819,Gage,4520
JFRTF,45.898,-111.597,MO,Jefferson R,0,67,Jefferson River near Three Forks MT ,0,Jefferson River (no dam),,,45.898,-111.597,,2071
RILEY,39.053,-96.776,MO,Kansas R,6879100,65,"Kansas River at Fort Riley, KS ",388,Downstream of Milford Dam on the Kansas River,,,39.053,-96.776,,2013
LIBBY,48.375,-115.625,PNW,Kootenai R,12301921,453,"Kootenai R at Libby Dam, MT ",6027,Libby Dam on the Kootenai River,,NRCS,48.4,-115.32,Monthly Adjusted,14042
MERWI,45.95,-122.57,PNW,Lewis R,14220010,3467,Merwin ,422,Merwin Dam on the Lewis River,Yes - new,NRCS,45.95,-122.56,Monthly Adjusted,3392
MHLGM,44.867,-111.338,MO,Madison R,0,33,Madison River bl Hebgen Lake nr Grayling MT ,325,Hebgen Dam on the Madison River,,,44.867,-111.338,,1010
LK_MC,37.522,-120.3,CALI,Merced R,0,38,Merced R nr Merced Falls (Lake McClure) ,1032,New Exchequer Dam of Lake McClure on the Merced River,"Site available, no FNF",CDEC,37.522,-120.3,,1173
MINNR,44.6931,-93.6417,UP,Minnesota R,5330000,81,"Minnesota River Near Jordan, MN ",0,Minnesota River (no dam),,,44.6931,-93.6417,,2521
WINON,44.0556,-91.6375,UP,Mississippi R,5378500,23667,"Mississippi River At Winona, MN ",0,Mississippi River (no dam),Yes - new,USGS,44.0556,-91.6375,Gage,14570
ALTON,38.885,-90.1808,UP,Mississippi R,5587500,1762,"Mississippi River At Alton, IL ",238,Melvin Price Locks and Dam on the Mississippi River,,c,38.885,-90.1808,,54622
ANOKA,45.1917,-93.3944,UP,Mississippi R,5283500,93,"Mississippi River At Anoka, MN ",0,Mississippi River (no dam),,,45.1917,-93.3944,,2868
NECTY,40.682,-95.847,MO,Missouri R,6807000,29392,"Missouri River at Nebraska City, NE ",0,Missouri River (no dam),Yes - new,USGS,40.6819,-95.8467,Gage,41689
KSCTY,39.112,-94.588,MO,Missouri R,6893000,41358,Missouri River at Kansas City ,0,Missouri River (no dam),Yes - new,USGS,39.1117,-94.588,Gage,51643
HERMN,38.71,-91.439,MO,Missouri R,6934500,63210,Missouri River at Hermann ,0,Missouri River (no dam),Yes - new,USGS,38.7097,-91.4386,Gage,70577
OMAHA,41.259,-95.922,MO,Missouri R,6610000,24474,"Missouri River at Omaha, NE ",,Missouri River (no dam),Yes - new,USGS,41.2589,-95.9222,Gage,33600
MRTST,46.146,-111.421,MO,Missouri R,0,3573,Missouri River at Toston MT ,0,Missouri River (no dam),Yes - new,NRCS,46.15,-111.42,Monthly Adjusted,4797
MRWLT,48.113,-103.718,MO,Missouri R,0,16616,"Missouri River nr Williston, ND ",0,Missouri River (no dam),Yes - new,NRCS,48.11,-103.71,Monthly Adjusted,21367
MRFPD,48.044,-106.356,MO,Missouri R,0,6685,Missouri River below Fort Peck Dam MT ,18463,Fort Peck Dam on the Missouri River,Yes - new,NRCS,48.04,-106.36,Monthly Adjusted,7821
MRVGL,48.005,-110.258,MO,Missouri R,0,6109,Missouri River at Virgelle MT ,0,Missouri River (no dam),Yes - new,NRCS,48,-110.26,Monthly Adjusted,7098
GARSN,47.5,-101.43,MO,Missouri R,0,711,"6338490 Missouri River at Garrison Dam, ND ",23821,Garrison Dam on the Missouri River,,,47.5,-101.43,,22041
FTRND,43.067,-98.57,MO,Missouri R,6453000,861,"Fort Randall Dam, SD ",5700,Fort Randall Dam on the Missouri River,,,43.067,-98.57,,26685
GAVPT,42.84,-97.48,MO,Missouri R,0,890,"Gavins Point Dam, SD ",492,Gavins Point Dam on the Missouri River,,,42.84,-97.48,,27562
OAHE_,44.358,-100.39,MO,Missouri R,0,824,"6439980 Lake Oahe near Pierre, SD ",23137,Oahe Dam on the Missouri River,,,44.358,-100.39,,25530
SIOUX,42.486,-96.414,MO,Missouri R,6486000,1030,"Sioux City, IA ",0,Missouri River (no dam),,,42.486,-96.414,,31907
NECHE,31.1328,-94.8097,GULF,Neches R,8033000,31,"Neches Rv nr Diboll, TX ",0,Neches River (no dam),,,31.1328,-94.8097,,953
NPGRW,42.457,-104.948,MO,North Platte R,0,35,"North Platte River below Glendo Reservoir, WY ",1171,Glendo Dam on the North Platte River,,,42.457,-104.948,,1099
SRLWY,42.156,-106.909,MO,North Platte R,0,31,"Seminoe Reservoir near Leo, WY ",1017,Seminoe Dam on the North Platte River,,,42.156,-106.909,,958
BAGNL,38.191,-92.607,MO,Osage R,6926000,7620,"Osage River nr Bagnell, MO ",1927,Bagnell Dam on the Osage River,Yes - new,USGS,38.1914,-92.6072,Gage,7371
OWYHE,43.65,-117.25,PNW,Owyhee R,13183000,42,"Owyhee R blw Owyhee Dam, ID ",1183,Owyhee Dam on the Owyhee River,,NRCS,43.65,-117.26,Monthly Adjusted,1300
PAYET,44.03,-116.92,PNW,Payette R,13251000,67,"Payette R nr Payette, ID ",0,Payette River (no dam),no data on NRCS,,44.03,-116.92,,2083
ALBEN,48.18,-117,PNW,Pend d'Oreille R,12395400,19128,Albeni Falls ,X,Albeni Falls Dam on the Pend d'Oreille River,Yes - new,NRCS,48.18,-117.03,Monthly Adjusted,22254
INDEX,33.552,-94.041,ARKRED,Red R,7337000,8990,"Red River at Index, AR ",,Red River (no dam),Yes - new,USGS,33.5519,-94.0411,Gage,7180
ROCKR,41.5561,-90.1853,UP,Rock R,5446500,5239,"Rock River Near Joslin, IL ",0,Rock River (no dam),Yes - new,USGS,41.5561,-90.1853,Gage,3536
SABGW,32.5269,-94.96,GULF,Sabine R,8020000,45,"Sabine Rv nr Gladewater, TX ",0,Sabine River (no dam),,,32.5269,-94.96,,1388
SHAST,40.717,-122.417,CALI,Sacramento R,0,6067,"SHA Shasta Dam Inflow, CA ",4552,Shasta Dam of Shasta Lake on the Sacramento River,Yes - new,CDEC,40.718,-122.42,Daily FNF,6475
SAC_B,40.289,-122.186,CALI,Sacramento R,0,7969,"SBB Sacramento R abv Bend Bridge, CA ",0,Sacramento River (no dam),Yes - new,CDEC,40.288486,-122.186661,Daily FNF,7953
SALMO,45.75,-116.32,PNW,Salmon R,13317000,8235,Salmon at Whitebird ,0,Salmon River (no dam),Yes - new,NRCS,45.75,-116.32,Monthly Adjusted,7571
MILLE,36.984,-119.723,CALI,San Joaquin R,0,59,San Joaquin R blw Friant (Millerton Lake),521,Friant Dam of Millerton Lake on the San Juaquin River,Yes,CDEC,37.001,-119.705,Daily FNF,1835
NAVJO,36.8,-107.612,COLO,San Juan R,9355200,29,Navajo ,1709,Navajo Dam on the San Juan River,,,36.8,-107.612,,890
SSBBB,44.517,-109.098,MO,Shoshone R,0,30,"Shoshone River below Buffalo Bill Reservoir, WY ",624,Buffalo Bill Dam on the Shoshone River,,,44.517,-109.098,,922
GORGE,48.67,-121.23,PNW,Skagit R,12177710,3290,Gorge ,X,Gorge Dam on the Skagit River,Yes - new,NRCS,48.67,-121.25,Monthly Adjusted,3988
HCANY,45.3,-116.7,PNW,Snake R,13290450,14235,"Snake R at Hells Canyon Dam, ID-OR ",,Hells Canyon Dam on the Snake River,Yes - new,USGS,45.2514,-116.6972,Gage,16439
PALIS,43.334,-111.204,PNW,Snake R,13032500,4609,"Snake R nr Irwin, ID ",1200,Palisades Reservoir Dam on the Snake River,Yes - new,NRCS,43.35,-111.22,Monthly Adjusted,3904
AMERI,42.77,-112.86,PNW,Snake R,13077000,5317,"Snake R at Neeley, ID ",1671,American Falls Dam on the Snake River,Yes - new,NRCS,42.77,-112.88,Monthly Adjusted,6278
CJSTR,42.95,-115.983,PNW,Snake R,13171620,7639,"Snake R blw CJ Strike Dam nr Grand View, ID ",247,C.J. Strike Dam on the Snake River,Yes - new,USGS,42.9472,-115.9803,Gage,8881
LGOOS,46.587,-118.026,PNW,Snake R,13343930,1140,Little Goose ,516,Little Goose Dam on the Snake River,no data on NRCS,,46.587,-118.026,,35342
LLAKE,47.83,-117.83,PNW,Spokane R,12432510,5530,Long Lake ,105,Long Lake Dam on the Spokane River,Yes - new,USGS,47.8367,-117.8403,Gage,4880
STCRX,45.4069,-92.6469,UP,St. Croix R,5340500,60,"St. Croix River At St. Croix Falls, WI ",X,St. Croix Falls Dam on the St. Croix River,,,45.4069,-92.6469,,1873
N_MEL,37.852,-120.637,CALI,Stanislaus R,0,37,"SNS Stanislaus R - Goodwin (New Melones Res), CA ",2400,Downstream of three dams (biggest is the New Melones Dam) on the Stanislaus River,Yes,CDEC,37.9481,-120.525,Daily FNF,1144
DPR_I,37.666,-120.441,CALI,Tuolumne R,0,66,"TLG Tuolumne R - La Grange Dam, CA ",2030,New Don Pedro Dam of the Don Pedro Reservoir on the Tuolumne River,"Site available, no FNF",CDEC,37.666,-120.441,,2059
KEOKR,40.3936,-91.3742,UP,Upper Mississippi R,5474500,54930,"Mississippi River At Keokuk, IA ",292,Keokuk Dam on the Upper Mississippi River,Yes - new,USGS,40.3936,-91.3742,Gage,35162
CLARE,36.307,-95.698,ARKRED,Verdigris R,7176000,86,"Verdigris R nr Claremore, OK ",0,Verdigris River (no dam),,,36.307,-95.698,,2651
WBSWY,43.425,-108.179,MO,Wind R,0,32,Wind R Bl Boysen Res WY ,952,Boysen Dam on the Wind River,,,43.425,-108.179,,988
YLWSD,47.678,-104.157,MO,Yellowstone R,0,8603,Yellowstone River near Sidney MT ,0,Yellowstone River (no dam),Yes - new,NRCS,47.68,-104.16,Monthly Adjusted,12018
YLWLT,45.597,-110.566,MO,Yellowstone R,0,2744,Yellowstone River near Livingston MT ,0,Yellowstone River (no dam),Yes - new,NRCS,45.6,-110.57,Monthly Adjusted,3492
YLWBL,45.8,-108.467,MO,Yellowstone R,0,5169,Yellowstone River at Billings MT ,0,Yellowstone River (no dam),Yes - new,NRCS,45.8,-108.47,Monthly Adjusted,6987
YYNPW,44.567,-110.381,MO,Yellowstone R,0,37,"Yellowstone River at Yellowstone Lk Outlet YNP, WY ",X,Yellowstone Lake outlet on the Yellowstone River,,,44.567,-110.381,,1137
